Age,Term_M,Term_F,Morb_M,Morb_F,Annuity_M,Annuity_F
0,0.00081,0.00078,0.00053,0.00052,0.00058,0.00047
1,0.00056,0.00053,0.00022,0.00020,0.00026,0.00022
2,0.00036,0.00033,0.00015,0.00014,0.00020,0.00015
3,0.00022,0.00019,0.00011,0.00009,0.00014,0.00010
4,0.00014,0.00011,0.00008,0.00007,0.00011,0.00007
5,0.00010,0.00008,0.00006,0.00006,0.00009,0.00006
6,0.00009,0.00008,0.00006,0.00005,0.00009,0.00006
7,0.00009,0.00008,0.00006,0.00005,0.00007,0.00005
8,0.00009,0.00007,0.00005,0.00004,0.00006,0.00004
9,0.00009,0.00007,0.00005,0.00004,0.00006,0.00004
10,0.00010,0.00007,0.00005,0.00004,0.00005,0.00004
11,0.00010,0.00007,0.00006,0.00004,0.00006,0.00004
12,0.00011,0.00008,0.00006,0.00004,0.00007,0.00004
13,0.00013,0.00010,0.00008,0.00005,0.00009,0.00004
14,0.00017,0.00012,0.00009,0.00006,0.00011,0.00005
15,0.00023,0.00014,0.00011,0.00008,0.00014,0.00006
16,0.00030,0.00016,0.00015,0.00008,0.00019,0.00009
17,0.00038,0.00019,0.00018,0.00010,0.00024,0.00010
18,0.00046,0.00021,0.00022,0.00012,0.00030,0.00012
19,0.00053,0.00023,0.00027,0.00013,0.00034,0.00013
20,0.00059,0.00025,0.00031,0.00015,0.00037,0.00014
21,0.00063,0.00026,0.00034,0.00015,0.00040,0.00016
22,0.00066,0.00027,0.00036,0.00016,0.00043,0.00017
23,0.00068,0.00028,0.00039,0.00016,0.00043,0.00018
24,0.00068,0.00029,0.00039,0.00016,0.00043,0.00018
25,0.00067,0.00029,0.00039,0.00016,0.00041,0.00018
26,0.00065,0.00030,0.00039,0.00017,0.00039,0.00018
27,0.00064,0.00031,0.00039,0.00018,0.00037,0.00018
28,0.00064,0.00032,0.00040,0.00019,0.00041,0.00020
29,0.00066,0.00034,0.00041,0.00021,0.00043,0.00020
30,0.00068,0.00037,0.00041,0.00022,0.00048,0.00022
31,0.00069,0.00040,0.00043,0.00023,0.00054,0.00024
32,0.00070,0.00044,0.00044,0.00025,0.00059,0.00026
33,0.00072,0.00049,0.00046,0.00026,0.00060,0.00028
34,0.00074,0.00054,0.00048,0.00027,0.00062,0.00029
35,0.00077,0.00059,0.00051,0.00029,0.00064,0.00031
36,0.00083,0.00065,0.00054,0.00032,0.00066,0.00034
37,0.00090,0.00071,0.00059,0.00034,0.00071,0.00036
38,0.00099,0.00077,0.00064,0.00038,0.00077,0.00039
39,0.00109,0.00083,0.00071,0.00041,0.00084,0.00043
40,0.00118,0.00088,0.00076,0.00043,0.00090,0.00047
41,0.00129,0.00093,0.00084,0.00047,0.00098,0.00053
